Award Number,Rebate Amount,City,State,County,Zip,Age,Gender,Date of Purchase,Dealership,Vehicle Type,Make,Model,Year,Lease?,Gasoline Emissions,Alt-Fuel Emissions
CVR071501,$2200.00,Hockessin,DE,New Castle,19707,81,M,07/20/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,No,14815,6575
CVR071502,$2200.00,Wilmington,DE,New Castle,19809,47,M,07/20/2015,Porter Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR071503,$2200.00,Wilmington,DE,New Castle,19810,47,M,07/22/2015,Darcars of Lanham Severn. Inc. ,Electric,Ford,Focus Electric,2015,Yes,14815,5539
CVR071504,$2200.00,Wilmington,DE,New Castle,19808,66,M,07/20/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR071505,$2200.00,New Castle,DE,New Castle,19720,51,M,07/24/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR071506,$2200.00,Milton,DE,Sussex,19968,78,M,07/24/2015,Nucar Lewes Automall,Plug-in Hybrid,Chevrolet,Volt,2015,No,14815,6575
CVR081507,$2200.00,Magnolia,DE,Kent,19962,51,F,07/31/2015,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081508,$2200.00,Wilmington,DE,New Castle,19810,47,M,08/06/2015,Nucar Chevrolet,Plug-in Hybrid,Chevrolet,Volt,2015,Yes,14815,6575
CVR081509,$2200.00,Dover,DE,Kent,19904,62,M,07/31/2015,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi ,2015,No,14815,6575
CVR081510,$2200.00,Newark,DE,New Castle,19711,72,M,07/31/2015,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081513,$2200.00,Wilmington,DE,New Castle,19810,51,F,07/25/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081514,$2200.00,Newark,DE,New Castle,19711,40,F,07/30/2015,Porter Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081515,$2200.00,Clayton,DE,Kent,19938,52,F,07/28/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081516,$2200.00,Wilmington,DE,New Castle,19805,45,F,07/20/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,No,14815,6575
CVR081517,$2200.00,Camden Wyoming,DE,Kent,19934,62,M,08/16/2015,Koon's of Silver Springs,Plug-in Hybrid,Ford,C-Max Energi ,2015,No,14815,6575
CVR081518,$2200.00,Wilmington,DE,New Castle,19803,26,M,07/17/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2014,No,14815,6575
CVR081519,$2200.00,Newark,DE,New Castle,19713,41,M,07/31/2015,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081520,$2200.00,Townsend,DE,New Castle,19734,39,M,07/21/2015,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081521,$2200.00,Millsboro,DE,Sussex,19966,41,M,08/22/2015,Boulevard Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081522,$2200.00,Wilmington,DE,New Castle,19805,59,F,07/22/2015,Diver Chevrolet,Plug-in Hybrid,Chevrolet,Volt,2015,No,14815,6575
CVR081523,$2200.00,Middletown,DE,New Castle,19709,35,M,08/08/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081524,$2200.00,Rehoboth Beach,DE,Sussex,19971,73,M,08/06/2015,Sheridan Ford,Electric,Ford,Focus Electric,2015,No,14815,5539
CVR081525,$2200.00,Newark,DE,New Castle,19711,41,M,07/30/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081526,$2200.00,Newark,DE,New Castle,19711,57,F,08/11/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR081527,$2200.00,Middletown,DE,New Castle,19709,38,M,08/08/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR081528,$2200.00,Wilmington,DE,New Castle,19808,46,M,08/13/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,Yes,14815,6575
CVR091529,$2200.00,Seaford,DE,Sussex,19973,59,F,07/18/2015,Pohanka Nissan,Electric,Nissan,Leaf,2015,No,14815,5539
CVR091530,$2200.00,Newark,DE,New Castle,19711,43,M,08/22/2015,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR091531,$2200.00,Millsboro,DE,Sussex,19966,25,F,09/08/2015,Willis Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,Yes,14815,6575
CVR091532,$2200.00,Wilmington,DE,New Castle,19807,50,M,08/28/2015,BMW of Reading,Electric,BMW,i3,2015,Yes,14815,5539
CVR091533,$2200.00,Newark,DE,New Castle,19711,42,F,09/19/2015,Nucar Chevrolet,Plug-in Hybrid,Chevrolet,Volt,2015,No,14815,6575
CVR101534,$2200.00,Millsboro,DE,Sussex,19966,27,M,09/12/2015,Boulevard Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,No,14815,6575
CVR101535,$2200.00,Wilmington,DE,New Castle,19805,58,M,09/10/2015,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR101536,$2200.00,Newark,DE,New Castle,19713,57,M,09/15/2015,Tesla Motors,Electric,Tesla,Model S,2015,No,14815,5539
CVR101537,$2200.00,Newark,DE,New Castle,19702,24,F,10/12/2015,Willis Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,Yes,14815,6575
CVR101538,$2200.00,Dover,DE,Kent,19904,71,F,10/06/2015,Willis Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR101539,$2200.00,Hartly,DE,Kent,19953,45,M,09/22/2015,Tesla Motors,Electric,Tesla,Model S,2015,No,14815,5539
CVR101540,$2200.00,Dover,DE,Kent,19904,44,F,10/05/2015,I.G. Burton BMW,Plug-in Hybrid,BMW,X5 40E,2016,No,14815,6575
CVR101541,$2200.00,Townsend,DE,New Castle,19734,29,F,08/12/2015,Willis Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR101542,$2200.00,Middletown,DE,New Castle,19709,41,F,10/19/2015,Preston Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,No,14815,6575
CVR101543,$2200.00,Newark,DE,New Castle,19702,54,M,10/12/2015,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR101544,$2000.00,Wilmington,DE,New Castle,19803,47,M,09/30/2015,Sheridan Nissan,Electric,Nissan,Leaf,2015,No,14815,5539
CVR101545,$2200.00,Middletown,DE,New Castle,19709,46,M,10/24/2015,BMW of Catonsville ,Electric,BMW,i3,2015,No,14815,5539
CVR111546,$2200.00,Selbyville,DE,Sussex,19975,75,M,09/30/2015,Boulevard Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815,6575
CVR111547,$2200.00,Millsboro,DE,Sussex,19966,37,F,08/06/2015,Boulevard Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
CVR111548,$2200.00,Wilmington,DE,New Castle,19804,31,F,10/16/2015,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi ,2015,Yes,14815,6575
