Award_Number,Rebate_Amount,City,State,County,Zip,Age,Gender,Date_of_Purchase,Dealership,Vehicle_Type,Make,Model,Year,Lease?,Gasoline_Emissions,Alt-Fuel_Emissions
CVR071501,$2200.00,Hockessin,DE,New Castle,19707,81.0,M,2015-07-20,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2016,No,14815.0,6575.0
CVR071502,$2200.00,Wilmington,DE,New Castle,19809,47.0,M,2015-07-20,Porter Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR071503,$2200.00,Wilmington,DE,New Castle,19810,47.0,M,2015-07-22,Darcars of Lanham Severn. Inc. ,Electric,Ford,Focus Electric,2015,Yes,14815.0,5539.0
CVR071504,$2200.00,Wilmington,DE,New Castle,19808,66.0,M,2015-07-20,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR071505,$2200.00,New Castle,DE,New Castle,19720,51.0,M,2015-07-24,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815.0,6575.0
CVR071506,$2200.00,Milton,DE,Sussex,19968,78.0,M,2015-07-24,Nucar Lewes Automall,Plug-in Hybrid,Chevrolet,Volt,2015,No,14815.0,6575.0
CVR081507,$2200.00,Magnolia,DE,Kent,19962,51.0,F,2015-07-31,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR081508,$2200.00,Wilmington,DE,New Castle,19810,47.0,M,2015-08-06,Nucar Chevrolet,Plug-in Hybrid,Chevrolet,Volt,2015,Yes,14815.0,6575.0
CVR081509,$2200.00,Dover,DE,Kent,19904,62.0,M,2015-07-31,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi,2015,No,14815.0,6575.0
CVR081510,$2200.00,Newark,DE,New Castle,19711,72.0,M,2015-07-31,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815.0,6575.0
CVR081513,$2200.00,Wilmington,DE,New Castle,19810,51.0,F,2015-07-25,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR081514,$2200.00,Newark,DE,New Castle,19711,40.0,F,2015-07-30,Porter Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR081515,$2200.00,Clayton,DE,Kent,19938,52.0,F,2015-07-28,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR081516,$2200.00,Wilmington,DE,New Castle,19805,45.0,F,2015-07-20,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi,2015,No,14815.0,6575.0
CVR081517,$2200.00,Camden Wyoming,DE,Kent,19934,62.0,M,2015-08-16,Koon's of Silver Springs,Plug-in Hybrid,Ford,C-Max Energi,2015,No,14815.0,6575.0
CVR081518,$2200.00,Wilmington,DE,New Castle,19803,26.0,M,2015-07-17,Sheridan Ford,Plug-in Hybrid,Ford,C-Max Energi,2014,No,14815.0,6575.0
CVR081519,$2200.00,Newark,DE,New Castle,19713,41.0,M,2015-07-31,Porter Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815.0,6575.0
CVR081520,$2200.00,Townsend,DE,New Castle,19734,39.0,M,2015-07-21,Willis Ford ,Plug-in Hybrid,Ford,C-Max Energi,2015,Yes,14815.0,6575.0
CVR081521,$2200.00,Millsboro,DE,Sussex,19966,41.0,M,2015-08-22,Boulevard Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815.0,6575.0
CVR081522,$2200.00,Wilmington,DE,New Castle,19805,59.0,F,2015-07-22,Diver Chevrolet,Plug-in Hybrid,Chevrolet,Volt,2015,No,14815.0,6575.0
CVR081523,$2200.00,Middletown,DE,New Castle,19709,35.0,M,2015-08-08,Sheridan Ford,Plug-in Hybrid,Ford,Fusion Energi,2015,Yes,14815.0,6575.0
CVR081524,$2200.00,Rehoboth Beach,DE,Sussex,19971,73.0,M,2015-08-06,Sheridan Ford,Electric,Ford,Focus Electric,2015,No,14815.0,5539.0
